nimi,telefon,direktor_telefon,email,direktor_email,omavalitsus,aadress,reg_kood,veebileht
Tallinna Suur-Pae Lasteaed,+3725043583,+3725662849,suurpae@suurpae.edu.ee,,Tallinn,"Punane, 29, Tallinn",75017231,http://www.tallinn.ee/est/suur-pae-lasteaed/
Tallinna Sõbrakese Lasteaed,6520394; 55967629,6520394; 55967629,direktor@sobrakese.edu.ee,direktor@sobrakese.edu.ee,Tallinn,"Kiili, 7, Tallinn",75018977,https://www.tallinn.ee/sobrakese/
Tallinna Tammetõru Lasteaed,+3726523776,6523 777 5390 7795,direktor@tammetoru.edu.ee,direktor@tammetoru.edu.ee,Tallinn,"A. H. Tammsaare tee, 79, Tallinn",75018489,http://www.tallinn.ee/tammetoru/
Tallinna Tihase Lasteaed,+3726513370,+3726513370,tihase@tihase.edu.ee,,Tallinn,"Nõmme tee, 9, Tallinn",75016622,http://www.tallinn.ee/tihase-lasteaed
Tallinna Tuule Lasteaed,+3726333201,+3726333201,direktor@tuule.edu.ee,direktor@tuule.edu.ee,Tallinn,"Paekaare, 38, Tallinn",75016800,https://www.tallinn.ee/tuule
Tallinna Tähekese Lasteaed,+3727867845,+3728668631,siret.vaarpu@tahekesela.edu.ee,,Tallinn,"Ehitajate tee, 50, Tallinn",75018928,https://tallinn.ee/tahekese/
Tallinna Unistuse Lasteaed,+3726376417,+3726376417,unistuse@unistuse.edu.ee,,Tallinn,"Gildi, 17, Tallinn",75018383,https://www.tallinn.ee/et/unistuse-lasteaed
Tallinna Veerise Lasteaed,+3726480502,+3726480602,direktor@veerise.edu.ee,direktor@veerise.edu.ee,Tallinn,"Veerise, 1, Tallinn",77000080,https://www.tallinn.ee/est/veerise/
Tallinna Vindi Lasteaed,+3726553665,+3726553670,vindi@vindi.edu.ee,,Tallinn,"Vindi, 3, Tallinn",75016527,https://www.tallinn.ee/et/vindi
Tallinna Virmalise Lasteaed,+3723285361,+3723285361,direktor@virmalise.edu.ee,direktor@virmalise.edu.ee,Tallinn,"Virmalise, 24, Tallinn",75018271,https://www.tallinn.ee/virmalise-lasteaed
Tallinna Vormsi Lasteaed,+3726371093,+3725267190,vormsila@vormsila.edu.ee,direktor@vormsila.edu.ee,Tallinn,"Vormsi, 1, Tallinn",75017248,http://www.tallinn.ee/vormsi-lasteaed/
Tallinna Ülemiste Lasteaed,+3726210078,,ylemiste@la.tln.edu.ee,,Tallinn,"Peterburi tee, 18, Tallinn",,http://ulemiste.edu.ee/
Tallinna Ümera Lasteaed,+3726357533,+3726356806,ymera@ymera.edu.ee,,Tallinn,"Ümera, 9, Tallinn",75017260,https://www.tallinn.ee/umera-lasteaed
Tapa Lasteaed Pisipõnn,,,lasteaed@pisiponn.ee,,Tapa,"Nooruse, 11, Tapa",,http://www.pisiponn.ee
Lasteaed Väike Pauline,,,vaikepauline@gmail.com,,Tartu,"Jakobi, 45, Tartu",,http://vaikepauline.edu.ee/
Tõravere lasteaed Tõruke,+3727410392,,,,Tõravere alevik,"Observatooriumi, 9a, Tõravere alevik",,
Põlva valla Lasteaed Sinilind,,,sinilind@polva.ee,,Vastse-Kuuste alevik,"Lasteaia, 2, Vastse-Kuuste alevik",,https://sinilinnuke.ee/
Ülenurme lasteaed Nurmepesa,+3727412305,,info@ylenurmelasteaed.ee,,Ülenurme alevik,"Lasteaia, 6, Ülenurme alevik",,https://nurmepesa.kambja.info/
